# kind	source	status	category	implementation_evidence	test_evidence	note
stdin-schema	SDKKeepAliveMessageSchema	implemented	async-lifecycle-runtime	src/control.rs	src/control.rs	Keep-alive is accepted and ignored without queue growth.
stdin-schema	SDKUpdateEnvironmentVariablesMessageSchema	excluded	vendor-hosted-remote-excluded	-	-	Source message exists to refresh hosted bridge auth tokens; runtime environment mutation is explicitly rejected.
stdin-schema	SDKUserMessageSchema	implemented	model-protocol-runtime	src/control.rs;src/main.rs	src/control.rs;tests/cli_output.rs	Validated direct user content supports priority queues and lifecycle acknowledgements.
stdout-schema	SDKAPIRetryMessageSchema	equivalent	model-protocol-runtime	src/query.rs;src/main.rs	tests/query_loop.rs	Bounded retry status carries attempt delay and sanitized reason.
stdout-schema	SDKAssistantMessageSchema	implemented	model-protocol-runtime	src/main.rs	tests/cli_output.rs	Assistant content is emitted with UUID and session identity.
stdout-schema	SDKAuthStatusMessageSchema	excluded	vendor-account-excluded	-	-	Account authentication status is outside endpoint-neutral runtime.
stdout-schema	SDKCompactBoundaryMessageSchema	implemented	context-compact-runtime	src/query.rs;src/main.rs	tests/compact_flow.rs	Compaction boundary includes before and after token estimates.
stdout-schema	SDKControlCancelRequestSchema	equivalent	async-lifecycle-runtime	src/control.rs	src/control.rs	Cancellation generations and incoming cancel responses end pending requests without leaking orphan state.
stdout-schema	SDKControlRequestSchema	implemented	model-protocol-runtime	src/control.rs	src/control.rs	Outbound permissions hooks MCP messages and elicitation are correlated.
stdout-schema	SDKControlResponseSchema	implemented	model-protocol-runtime	src/control.rs	src/control.rs;tests/cli_output.rs	Success error and unsupported responses are explicit.
stdout-schema	SDKElicitationCompleteMessageSchema	equivalent	mcp-lsp-runtime	src/mcp.rs;src/control.rs	src/mcp.rs	Synchronous bounded elicitation completion is returned on the correlated interaction instead of a later hosted event.
stdout-schema	SDKFilesPersistedEventSchema	excluded	vendor-hosted-remote-excluded	-	-	Hosted file upload identifiers are outside local persistence.
stdout-schema	SDKHookProgressMessageSchema	equivalent	extension-runtime	src/hooks.rs;src/main.rs	src/hooks.rs	Hook start and terminal response events expose bounded lifecycle without streaming arbitrary hook stdout.
stdout-schema	SDKHookResponseMessageSchema	implemented	extension-runtime	src/hooks.rs;src/main.rs	src/hooks.rs	Hook outcome event is sanitized before transport.
stdout-schema	SDKHookStartedMessageSchema	implemented	extension-runtime	src/hooks.rs;src/main.rs	src/hooks.rs	Hook start event is available when explicitly requested.
stdout-schema	SDKKeepAliveMessageSchema	equivalent	async-lifecycle-runtime	src/control.rs	src/control.rs	Local stdio accepts keep-alive frames as bounded no-ops; it does not manufacture proxy keep-alives needed only by hosted WebSocket bridges.
stdout-schema	SDKLocalCommandOutputMessageSchema	equivalent	command-input-runtime	src/main.rs	tests/cli_output.rs	Control slash results carry structured command_result and error state.
stdout-schema	SDKPartialAssistantMessageSchema	equivalent	model-protocol-runtime	src/main.rs;src/query.rs	tests/cli_output.rs	Explicit partial mode emits schema-compatible stream_event wrappers around provider-neutral visible text deltas while withholding private reasoning and provider state.
stdout-schema	SDKPostTurnSummaryMessageSchema	excluded	experimental-proactive-excluded	-	-	Internal post-turn classifier is not active provider-neutral conversation output.
stdout-schema	SDKPromptSuggestionMessageSchema	implemented	command-input-runtime	src/query.rs;src/main.rs	tests/terminal_pty.rs	Opt-in bounded next-prompt event.
stdout-schema	SDKRateLimitEventSchema	equivalent	model-protocol-runtime	src/api.rs;src/query.rs;src/main.rs	tests/query_loop.rs	Provider-neutral retry and failure state replaces first-party quota metadata.
stdout-schema	SDKResultMessageSchema	equivalent	model-protocol-runtime	src/main.rs	tests/cli_output.rs	Final text usage structured output and errors are bounded; vendor billing and account-derived model cost fields are intentionally absent.
stdout-schema	SDKSessionStateChangedMessageSchema	implemented	async-lifecycle-runtime	src/main.rs	tests/cli_output.rs	Running and authoritative idle bookends surround stream control turns.
stdout-schema	SDKStatusMessageSchema	equivalent	model-protocol-runtime	src/main.rs	tests/cli_output.rs	The open stream extends compacting and null status with running interrupted failed and idle lifecycle states.
stdout-schema	SDKStreamlinedTextMessageSchema	excluded	internal-diagnostics-excluded	-	-	Source transformer is build-gated internal compact telemetry output.
stdout-schema	SDKStreamlinedToolUseSummaryMessageSchema	excluded	internal-diagnostics-excluded	-	-	Source transformer is build-gated internal compact telemetry output.
stdout-schema	SDKSystemMessageSchema	equivalent	model-protocol-runtime	src/main.rs	tests/cli_output.rs	Provider-neutral init metadata omits vendor API-key and branded-version fields while retaining bounded tools commands skills agents plugins settings and capabilities.
stdout-schema	SDKTaskNotificationMessageSchema	implemented	agent-team-runtime	src/agents.rs;src/main.rs	src/agents.rs;src/main.rs	Agent completion and failure bookends include actual final token tool-use and duration counters without exposing output paths.
stdout-schema	SDKTaskProgressMessageSchema	implemented	agent-team-runtime	src/agents.rs;src/main.rs	src/agents.rs;src/main.rs	Exact bounded agent activity includes cumulative tool-use elapsed duration last tool and optional summary; unavailable in-flight token totals remain zero until completion.
stdout-schema	SDKTaskStartedMessageSchema	implemented	agent-team-runtime	src/agents.rs;src/main.rs	src/agents.rs;src/main.rs	Owned agent execution emits a start event.
stdout-schema	SDKToolProgressMessageSchema	implemented	tool-runtime	src/query.rs;src/main.rs	tests/cli_output.rs	Tool start and finish include stable IDs names elapsed time and error state.
stdout-schema	SDKToolUseSummaryMessageSchema	equivalent	tool-runtime	src/query.rs;src/main.rs	tests/cli_output.rs	Exact tool progress and bounded results replace an additional proprietary summarizer message.
stdout-schema	SDKUserMessageReplaySchema	implemented	command-input-runtime	src/control.rs	src/control.rs;tests/cli_output.rs	Explicit replay mode acknowledges accepted user delivery only.
stdout-schema	SDKUserMessageSchema	implemented	model-protocol-runtime	src/control.rs;src/main.rs	src/control.rs	User messages remain validated input and transcript content.
